更新时间,#genre#
20240810-15-57-01,url


RespoTime,whitelist,#genre#
98.00ms,江西卫视,http://116.233.242.71:5000/udp/239.45.1.122:5140
98.25ms,江苏卫视,http://101.83.73.7:8686/udp/239.45.3.177:5140
98.53ms,CCTV1,http://125.113.160.127:8888/udp/233.50.201.1:5140
99.35ms,中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
99.63ms,东南卫视,http://116.230.101.210:6066/udp/239.45.1.121:5140
99.82ms,CCTV1,http://125.113.160.127:8888/udp/233.50.200.130:5140
100.65ms,CCTV12,http://125.113.160.127:8888/udp/233.50.201.123:5140
100.66ms,人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
100.90ms,春晚2005,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyMzhfMF8z_b_B35ad7cc86aec8fc9e5ddfb31fc7bed63.mp4
101.29ms,河北卫视,http://116.226.8.253:8881/udp/239.45.1.44:5140
101.50ms,辽宁卫视,http://101.83.73.7:8686/udp/239.45.1.123:5140
101.69ms,吉林卫视,http://116.233.242.71:5000/udp/239.45.0.6:5140
101.82ms,江西卫视,http://125.113.160.127:8888/udp/233.50.200.119:5140
101.90ms,变形金刚1,https://vd3.bdstatic.com/mda-khb9j4g6c25biyqj/v1-cae/1080p/mda-khb9j4g6c25biyqj.mp4
102.01ms,北京卫视,http://125.113.160.127:8888/udp/233.50.201.107:5140
102.22ms,离婚后冷爷他知错了,https://vd3.bdstatic.com/mda-pi6scbgcwrd7r2zr/sc/cae_h264/1694210199261123829/mda-pi6scbgcwrd7r2zr.mp4
103.00ms,CCTV12,http://125.113.160.127:8888/udp/233.50.200.21:5140
103.25ms,东方卫视,http://116.226.8.253:8881/udp/239.45.3.146:5140
103.32ms,CCTV6,http://125.113.160.127:8888/udp/233.50.201.18:5140
103.44ms,兵团卫视,http://101.83.73.7:8686/udp/239.45.1.117:5140
103.63ms,CGTN西语,https://0472.org/hls/cgtnx.m3u8
103.82ms,山东卫视,http://116.234.41.97:10001/udp/239.45.3.238:5140
104.05ms,CCTV14,http://125.115.210.167:4022/udp/233.50.201.14:5140
104.07ms,吉林卫视,http://101.83.73.7:8686/udp/239.45.0.6:5140
104.18ms,动漫秀场,http://101.83.73.7:8686/udp/239.45.3.134:5140
104.35ms,新疆卫视,http://101.83.73.7:8686/udp/239.45.1.116:5140
104.48ms,动漫秀场,http://116.226.8.253:8881/udp/239.45.3.134:5140
104.52ms,CCTV11,http://125.113.160.127:8888/udp/233.50.201.11:5140
104.56ms,北京卫视,http://116.226.8.253:8881/udp/239.45.3.229:5140
104.58ms,CCTV9,http://125.113.160.127:8888/udp/233.50.200.23:5140
104.61ms,甘肃卫视,http://116.233.242.71:5000/udp/239.45.1.234:5140
104.86ms,宁夏卫视,http://116.226.8.253:8881/udp/239.45.1.213:5140
104.90ms,东南卫视,http://58.37.102.115:4022/udp/239.45.1.121:5140
105.06ms,河南卫视,http://116.226.8.253:8881/udp/239.45.0.3:5140
105.13ms,CCTV14,http://125.113.160.127:8888/udp/233.50.201.14:5140
105.29ms,番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
105.46ms,兵团卫视,http://116.230.101.210:6066/udp/239.45.1.117:5140
105.46ms,安徽卫视,http://58.41.27.144:18888/udp/239.45.1.120:5140
105.60ms,CCTV9,http://125.115.210.167:4022/udp/233.50.200.23:5140
105.61ms,上门豪婿(94集),https://txmov2.a.kwimgs.com/bs3/video-hls/5226145996125317106_hlsb.m3u8
105.86ms,CCTV16,http://125.113.160.127:8888/udp/233.50.201.63:5140
105.87ms,卡酷少儿,http://116.226.8.253:8881/udp/239.45.0.8:5140
105.91ms,海南卫视,http://116.226.8.253:8881/udp/239.45.1.81:5140
106.00ms,好多倩_夜夜夜漫长,https://vd4.bdstatic.com/mda-mcm1j9nnz5xxyhar/720p/h264_cae/1621016873537262108/mda-mcm1j9nnz5xxyhar.mp4
106.00ms,午夜43路,https://txmov2.a.kwimgs.com/upic/2021/09/28/22/BMjAyMTA5MjgyMjM2NTJfMTI0MzE0NjMyOF81ODAwOTA0NzQyNV8yXzM=_b_Bf914d7c0f0f2867aebc49ae6986bffcf.mp4
106.01ms,CCTV1,http://125.114.241.240:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
106.02ms,湖北卫视,http://101.83.73.7:8686/udp/239.45.3.239:5140
106.14ms,辽宁卫视,http://58.37.102.115:4022/udp/239.45.1.123:5140
106.28ms,四川卫视,http://125.114.241.137:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
106.56ms,浙江卫视,http://116.233.242.71:5000/udp/239.45.3.178:5140
106.58ms,韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
106.59ms,DJ版《蜜雪冰城》,https://vd3.bdstatic.com/mda-mhbae2pwwxhyxjcz/1080p/cae_h264/1628767594518574030/mda-mhbae2pwwxhyxjcz.mp4#
106.62ms,NHK,http://61.221.215.25:8800/hls/51/index.m3u8
106.65ms,探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
106.71ms,贵州卫视,http://116.234.41.97:10001/udp/239.45.1.80:5140
106.83ms,番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
106.86ms,CCTV3,http://125.115.210.167:4022/udp/233.50.201.196:5140
106.89ms,CCTV1,http://116.234.41.97:10001/udp/239.45.3.145:5140
106.91ms,三沙卫视,http://218.80.79.205:4022/udp/239.45.1.82:5140
106.96ms,重庆卫视,http://125.113.160.127:8888/udp/233.50.201.66:5140
106.98ms,贵州卫视,http://116.226.8.253:8881/udp/239.45.1.80:5140
106.99ms,金鹰卡通,http://116.233.242.71:5000/udp/239.45.3.118:5140
107.00ms,安徽卫视,http://116.226.8.253:8881/udp/239.45.1.120:5140
107.02ms,内蒙古卫视,http://125.114.241.137:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
107.05ms,山东卫视,http://101.83.73.7:8686/udp/239.45.3.238:5140
107.09ms,广东卫视,http://116.234.41.97:10001/udp/239.45.3.230:5140
107.11ms,云南卫视,http://101.83.73.7:8686/udp/239.45.0.4:5140
107.12ms,CCTV17,http://116.234.41.97:10001/udp/239.45.3.52:5140
107.35ms,云南卫视,http://125.115.210.167:4022/udp/233.50.200.115:5140
107.35ms,河北卫视,http://116.233.242.71:5000/udp/239.45.1.44:5140
107.41ms,河北卫视,http://125.115.210.167:4022/udp/233.50.200.105:5140
107.41ms,江苏卫视,http://116.230.101.210:6066/udp/239.45.3.177:5140
107.41ms,东方卫视,http://58.41.27.144:18888/udp/239.45.3.146:5140
107.45ms,东方卫视,http://125.115.210.167:4022/udp/233.50.200.146:5140
107.47ms,CCTV1,http://125.115.210.167:4022/udp/233.50.201.92:5140
107.55ms,河北卫视,http://101.83.73.7:8686/udp/239.45.1.44:5140
107.66ms,安徽卫视,http://116.234.41.97:10001/udp/239.45.1.120:5140
107.69ms,CCTV8,http://116.234.41.97:10001/udp/239.45.1.71:5140
107.82ms,卡酷少儿,http://116.233.242.71:5000/udp/239.45.0.8:5140
107.82ms,新疆卫视,http://116.230.101.210:6066/udp/239.45.1.116:5140
107.90ms,广东卫视,http://101.83.73.7:8686/udp/239.45.3.230:5140
107.99ms,五万存款当首富(98集),https://vd3.bdstatic.com/mda-peitxirv8yxvmu8y/sc/cae_h264/1684702979466568288/mda-peitxirv8yxvmu8y.mp4
108.01ms,甘肃卫视,http://101.83.73.7:8686/udp/239.45.1.234:5140
108.01ms,海南卫视,http://116.230.101.210:6066/udp/239.45.1.81:5140
108.18ms,贵州卫视,http://116.233.242.71:5000/udp/239.45.1.80:5140
108.27ms,金鹰卡通,http://101.83.73.7:8686/udp/239.45.3.118:5140
108.38ms,深圳卫视,http://116.226.8.253:8881/udp/239.45.3.231:5140
108.44ms,东南卫视,http://101.83.73.7:8686/udp/239.45.1.121:5140
108.45ms,江西卫视,http://116.234.41.97:10001/udp/239.45.1.122:5140
108.50ms,陕西卫视,http://125.114.241.137:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
108.53ms,东南卫视,http://116.233.242.71:5000/udp/239.45.1.121:5140
108.55ms,罗时丰心事,http://vd2.bdstatic.com/mda-jaadiz1rwrtrj7kw/sc/mda-jaadiz1rwrtrj7kw.mp4
108.56ms,四川卫视,http://116.234.41.97:10001/udp/239.45.1.83:5140
108.63ms,甘肃卫视,http://116.230.101.210:6066/udp/239.45.1.234:5140
108.66ms,CCTV14,http://125.114.241.240:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
108.72ms,贵州卫视,http://116.230.101.210:6066/udp/239.45.1.80:5140
108.80ms,东南卫视,http://116.234.41.97:10001/udp/239.45.1.121:5140
108.81ms,光明DJ4K,https://vd4.bdstatic.com/mda-ma7y4ug97hcdf710/v1-cae/1080p/mda-ma7y4ug97hcdf710.mp4
108.84ms,2008年中央电视台春节联欢晚会,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzNTNfMF8z_b_Bd7346962e61bd7b84e11a1fa6e4616f9.mp4
108.93ms,金鹰卡通,http://116.230.101.210:6066/udp/239.45.3.118:5140
109.00ms,宁夏卫视,http://101.83.73.7:8686/udp/239.45.1.213:5140
109.01ms,CCTV12-社会与法,http://124.205.11.199:91/live/CCTV12hd-8M/live.m3u8
109.12ms,湖南卫视,http://125.114.241.240:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
109.22ms,春晚19,https://txmov2.a.kwimgs.com/bs3/video-hls/5239093835831655107_hlshd15.m3u8
109.27ms,康巴卫视,http://116.233.242.71:5000/udp/239.45.1.251:5140
109.27ms,江西卫视,http://125.115.210.167:4022/udp/233.50.201.53:5140
109.30ms,广西卫视,http://116.233.242.71:5000/udp/239.45.0.5:5140
109.33ms,吉林卫视,http://116.234.41.97:10001/udp/239.45.0.6:5140
109.38ms,天津卫视,http://101.83.73.7:8686/udp/239.45.1.124:5140
109.50ms,重庆卫视,http://116.233.242.71:5000/udp/239.45.1.84:5140
109.52ms,湖北卫视,http://116.233.242.71:5000/udp/239.45.3.239:5140
109.57ms,凤凰卫视资讯台,http://61.221.215.25:8800/hls/47/index.m3u8
109.62ms,黑龙江卫视,http://101.83.73.7:8686/udp/239.45.3.232:5140
109.67ms,CCTV3,http://125.114.241.240:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
109.68ms,广西卫视,http://116.234.41.97:10001/udp/239.45.0.5:5140
109.69ms,卡酷少儿,http://101.83.73.7:8686/udp/239.45.0.8:5140
109.70ms,西藏卫视,http://116.233.242.71:5000/udp/239.45.1.231:5140
109.76ms,海南卫视,http://116.234.41.97:10001/udp/239.45.1.81:5140
109.80ms,CCTV1,http://125.113.160.127:8888/udp/233.50.201.96:5140
109.82ms,黑龙江卫视,http://116.233.242.71:5000/udp/239.45.3.232:5140
